"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
39031961100,39,031,961100,78,1.4708,3
39031961200,39,031,961200,76,1.542,3
39031961300,39,031,961300,77.2,2.1849,3
39031961400,39,031,961400,70.4,1.3816,3
39031961500,39,031,961500,72.3,1.4714,3
39031961600,39,031,961600,80.5,1.699,3
39031961700,39,031,961700,78,1.6689,3
39031961800,39,031,961800,76.6,1.0828,3
39033974100,39,033,974100,79.5,1.6077,3
39033974200,39,033,974200,79.5,1.5977,3
39033974300,39,033,974300,78.3,1.5239,3
39033974400,39,033,974400,71.9,2.255,3
39033974500,39,033,974500,75.1,1.1633,3
39033974600,39,033,974600,76.5,1.7853,3
39033974700,39,033,974700,77.5,3.7429,3
39033974800,39,033,974800,75.4,1.5734,3
39033974900,39,033,974900,76.7,1.2766,3
39033975000,39,033,975000,77,1.0716,3
39033975100,39,033,975100,75.8,1.708,3
39033975200,39,033,975200,75.9,1.6206,1
39033975300,39,033,975300,70.2,1.3087,3
39035101101,39,035,101101,70.5,2.5371,3
39035101102,39,035,101102,75.5,2.0475,3
39035101200,39,035,101200,72.2,1.6864,3
39035101300,39,035,101300,70,1.7492,3
39035101400,39,035,101400,70.7,2.3846,3
39035101501,39,035,101501,71.2,2.82,3
39035101603,39,035,101603,70.5,2.1695,3
39035101700,39,035,101700,71.6,2.8977,3
39035101800,39,035,101800,66.7,1.5891,3
39035101901,39,035,101901,76.2,1.9846,2
39035102101,39,035,102101,75,1.6609,2
39035102102,39,035,102102,73,1.7612,3
39035102200,39,035,102200,72.7,1.6437,3
39035102401,39,035,102401,73.2,1.9502,3
39035102402,39,035,102402,73.1,1.8546,1
39035102700,39,035,102700,71.3,1.8925,3
39035102800,39,035,102800,73,3.2704,3
39035102900,39,035,102900,74.3,2.7987,3
39035103400,39,035,103400,76.2,1.6972,2
39035103500,39,035,103500,75.1,2.3379,3
39035103602,39,035,103602,71.2,1.8115,3
39035103800,39,035,103800,72.1,2.5416,3
39035103900,39,035,103900,69.5,1.7853,3
39035104400,39,035,104400,69.4,2.576,3
39035104600,39,035,104600,68.7,3.1963,3
39035104800,39,035,104800,71.7,1.4374,3
39035104900,39,035,104900,69.9,2.1572,3
39035105100,39,035,105100,69.4,1.6611,3
39035105300,39,035,105300,71.4,1.9528,3
39035105400,39,035,105400,72.2,2.0213,3
39035105500,39,035,105500,75,1.8159,2
39035105602,39,035,105602,74.7,1.2989,2
39035105700,39,035,105700,73.4,1.4535,3
39035105900,39,035,105900,74.7,1.3994,3
39035106100,39,035,106100,78.5,1.872,3
39035106200,39,035,106200,76.1,1.3193,3
39035106300,39,035,106300,74.2,1.4266,3
39035106400,39,035,106400,72.4,2.3425,3
39035106500,39,035,106500,75.4,2.2271,3
39035106600,39,035,106600,75.5,1.138,2
39035106800,39,035,106800,73.8,2.3794,3
39035106900,39,035,106900,75.7,1.1951,3
39035107000,39,035,107000,76.8,2.1172,3
39035107802,39,035,107802,77.3,1.2941,2
39035108201,39,035,108201,79,1.4005,2
39035108301,39,035,108301,74.1,1.5896,2
39035108400,39,035,108400,76.6,3.1421,3
39035108701,39,035,108701,72,1.8793,2
39035109301,39,035,109301,68.6,2.2436,3
39035110801,39,035,110801,69,2.3939,3
39035110901,39,035,110901,72.1,1.0993,2
39035111202,39,035,111202,70.9,2.3066,3
39035111401,39,035,111401,69.3,2.5222,3
39035111500,39,035,111500,73.1,1.3784,2
39035111600,39,035,111600,72.4,2.0705,2
39035111700,39,035,111700,72.4,2.6778,2
39035112100,39,035,112100,65.6,2.5062,3
39035112200,39,035,112200,69.7,3.4962,3
39035112400,39,035,112400,69.2,3.7483,3
39035112500,39,035,112500,72,1.4195,2
39035112600,39,035,112600,72,1.6216,2
39035112800,39,035,112800,76,1.706,2
39035113500,39,035,113500,72.2,3.1915,3
39035113600,39,035,113600,66.6,3.2874,3
39035113801,39,035,113801,72.1,1.5542,2
39035114100,39,035,114100,73.8,2.8804,3
39035114300,39,035,114300,72,3.9108,2
39035114501,39,035,114501,68.1,2.0716,3
39035114600,39,035,114600,70,2.555,3
39035115100,39,035,115100,68.4,2.4139,3
39035115200,39,035,115200,72.4,2.2876,2
39035115300,39,035,115300,72.1,2.5844,2
39035115400,39,035,115400,69.2,1.9516,3
39035115700,39,035,115700,68.7,1.9704,3
39035115800,39,035,115800,68.4,1.7397,3
39035115900,39,035,115900,75.4,2.0246,3
39035116100,39,035,116100,70.9,2.8312,3
39035116200,39,035,116200,72.5,2.9983,3
39035116300,39,035,116300,70.1,2.2251,3
39035116400,39,035,116400,68.9,3.3752,3
39035116500,39,035,116500,67.8,2.0456,3
39035116600,39,035,116600,74.4,2.5087,3
39035116800,39,035,116800,69.8,1.7714,3
39035117101,39,035,117101,76.1,2.4525,3
39035117102,39,035,117102,75.4,3.681,3
39035117201,39,035,117201,68.7,1.6901,3
39035117202,39,035,117202,73.7,2.6819,3
39035117300,39,035,117300,76,2.7976,3
39035117400,39,035,117400,72.4,1.8811,2
39035117500,39,035,117500,72,1.8681,2
39035117700,39,035,117700,75.8,1.9775,3
39035117800,39,035,117800,76.1,2.2974,3
39035117900,39,035,117900,75.2,2.8654,3
39035118101,39,035,118101,70.3,2.4593,3
