excel_index,csv_index,excel_original,csv_original,normalized_address
730,1289,1900 W. STATE STREET,1900 W State St,1900 w state st
730,1317,1900 W. STATE STREET,1900 W State St,1900 w state st
731,371,1240 COLUMBUS AVENUE,1240 Columbus Ave,1240 columbus ave
731,395,1240 COLUMBUS AVENUE,1240 Columbus Ave,1240 columbus ave
732,1376,3415 CLARK AVE.,3415 Clark Ave,3415 clark ave
734,93,521 EAST MAIN STREET,521 E Main St,521 e main st
736,380,537 W. MAIN STREET,537 W Main St,537 w main st
737,40,3 W. CORRY STREET,3 W Corry St,3 w corry st
738,34,7135 BEECHMONT AVE.,7135 Beechmont Ave,7135 beechmont ave
740,756,1040 POLARIS PARKWAY,1040 Polaris Pkwy,1040 polaris pkwy
741,1528,35279 VINE STREET,35279 Vine St,35279 vine st
744,958,110 LINCOLN WAY WEST,110 Lincoln Way W,110 lincoln way w
744,987,110 LINCOLN WAY WEST,110 Lincoln Way W,110 lincoln way w
746,677,432 32nd St,432 32nd St,432 32nd st
746,696,432 32nd St,432 32nd St,432 32nd st
747,673,901 E. MAIN STREET,901 E Main St,901 e main st
750,165,6901 MIAMI AVENUE,6901 Miami Ave,6901 miami ave
751,1118,834 W. MARKET STREET,834 W Market St,834 w market st
